n_local,algorithm,beta_over_mu,mix_rounds,grad_evals_per_node,reached_rate,sweep,lambda_reg,kappa_g
100.0,ACC-SONATA-F,1103.0,8224.0,2314.0,1.0,beta_over_mu,,
100.0,ACC-SONATA-L,1103.0,7700.0,2201.0,1.0,beta_over_mu,,
100.0,EXTRA,1103.0,45369.0,45369.0,0.6666666666666666,beta_over_mu,,
100.0,GradientTracking,1103.0,50000.0,25001.0,0.0,beta_over_mu,,
100.0,MUDAG,1103.0,44851.0,8971.0,0.6666666666666666,beta_over_mu,,
200.0,ACC-SONATA-F,779.4,6160.0,1761.0,1.0,beta_over_mu,,
200.0,ACC-SONATA-L,779.4,7616.0,2177.0,1.0,beta_over_mu,,
200.0,EXTRA,779.4,37960.0,37960.0,0.6666666666666666,beta_over_mu,,
200.0,GradientTracking,779.4,50000.0,25001.0,0.0,beta_over_mu,,
200.0,MUDAG,779.4,44376.0,8876.0,0.6666666666666666,beta_over_mu,,
400.0,ACC-SONATA-F,526.6,5040.0,1441.0,1.0,beta_over_mu,,
400.0,ACC-SONATA-L,526.6,7616.0,2177.0,1.0,beta_over_mu,,
400.0,EXTRA,526.6,32557.0,32557.0,1.0,beta_over_mu,,
400.0,GradientTracking,526.6,50000.0,25001.0,0.0,beta_over_mu,,
400.0,MUDAG,526.6,43937.0,8866.0,1.0,beta_over_mu,,
800.0,ACC-SONATA-F,334.2,3720.0,1086.0,1.0,beta_over_mu,,
800.0,ACC-SONATA-L,334.2,7644.0,2185.0,1.0,beta_over_mu,,
800.0,EXTRA,334.2,29818.0,29818.0,1.0,beta_over_mu,,
800.0,GradientTracking,334.2,50000.0,25001.0,0.0,beta_over_mu,,
800.0,MUDAG,334.2,43309.0,8898.0,1.0,beta_over_mu,,
1600.0,ACC-SONATA-F,240.1,3120.0,911.0,1.0,beta_over_mu,,
1600.0,ACC-SONATA-L,240.1,7588.0,2169.0,1.0,beta_over_mu,,
1600.0,EXTRA,240.1,27549.0,27549.0,1.0,beta_over_mu,,
1600.0,GradientTracking,240.1,50000.0,25001.0,0.0,beta_over_mu,,
1600.0,MUDAG,240.1,43049.0,8851.0,1.0,beta_over_mu,,
,ACC-SONATA-F,,3720.0,1086.0,1.0,kappa,0.0,1008.0
,ACC-SONATA-L,,7644.0,2185.0,1.0,kappa,0.0,1008.0
,EXTRA,,29818.0,29818.0,1.0,kappa,0.0,1008.0
,GradientTracking,,50000.0,25001.0,0.0,kappa,0.0,1008.0
,MUDAG,,43309.0,8898.0,1.0,kappa,0.0,1008.0
,ACC-SONATA-F,,3720.0,1086.0,1.0,kappa,0.0001,1007.0
,ACC-SONATA-L,,7644.0,2185.0,1.0,kappa,0.0001,1007.0
,EXTRA,,29814.0,29814.0,1.0,kappa,0.0001,1007.0
,GradientTracking,,50000.0,25001.0,0.0,kappa,0.0001,1007.0
,MUDAG,,43309.0,8897.0,1.0,kappa,0.0001,1007.0
,ACC-SONATA-F,,3720.0,1086.0,1.0,kappa,0.001,1007.0
,ACC-SONATA-L,,7644.0,2185.0,1.0,kappa,0.001,1007.0
,EXTRA,,29781.0,29781.0,1.0,kappa,0.001,1007.0
,GradientTracking,,50000.0,25001.0,0.0,kappa,0.001,1007.0
,MUDAG,,43281.0,8892.0,1.0,kappa,0.001,1007.0
,ACC-SONATA-F,,3696.0,1079.0,1.0,kappa,0.01,997.4
,ACC-SONATA-L,,7588.0,2169.0,1.0,kappa,0.01,997.4
,EXTRA,,29455.0,29455.0,1.0,kappa,0.01,997.4
,GradientTracking,,50000.0,25001.0,0.0,kappa,0.01,997.4
,MUDAG,,43013.0,8833.0,1.0,kappa,0.01,997.4
,ACC-SONATA-F,,3456.0,1009.0,1.0,kappa,0.1,915.0
,ACC-SONATA-L,,7084.0,2025.0,1.0,kappa,0.1,915.0
,EXTRA,,26516.0,26516.0,1.0,kappa,0.1,915.0
,GradientTracking,,50000.0,25001.0,0.0,kappa,0.1,915.0
,MUDAG,,40533.0,8294.0,1.0,kappa,0.1,915.0
